rank,prev_rank,name,league,off,def,spi
482,492,RKC,Dutch Eredivisie,1.09,2.02,27.0
483,511,Silkeborg,Danish SAS-Ligaen,1.17,2.14,26.91
484,501,Lugo,Spanish Segunda Division,0.82,1.64,26.82
485,464,Valerenga,Norwegian Tippeligaen,1.03,1.94,26.82
486,487,Panetolikos,Greek Super League,0.85,1.7,26.68
487,513,Fleetwood Town,English League One,0.93,1.82,26.68
488,482,Orebro SK,Swedish Allsvenskan,1.02,1.94,26.67
489,486,Livingston,Scottish Premiership,0.95,1.85,26.41
490,472,Burton Albion,English League One,0.91,1.8,26.39
491,503,Paris FC,French Ligue 2,0.62,1.36,26.33
492,506,Veracruz,Mexican Primera Division Torneo Apertura,0.91,1.8,26.26
493,479,Western Sydney FC,Australian A-League,1.03,1.99,26.21
494,500,Spezia,Italy Serie B,0.85,1.72,26.18
495,491,Guizhou Renhe,Chinese Super League,0.92,1.83,26.14
496,495,Valenciennes,French Ligue 2,0.81,1.66,26.08
497,490,SV Wehen Wiesbaden,German 2. Bundesliga,0.94,1.87,25.96
498,483,Rotherham United,English League One,0.87,1.77,25.96
499,498,Orléans,French Ligue 2,0.84,1.73,25.95
500,480,Lyngby,Danish SAS-Ligaen,0.87,1.76,25.93
501,496,Sagan Tosu,Japanese J League,0.88,1.79,25.85
502,493,Niort,French Ligue 2,0.67,1.47,25.81
503,460,New York Red Bulls II,United Soccer League,1.25,2.34,25.69
504,507,Rodez,French Ligue 2,0.85,1.76,25.63
505,494,AC Ajaccio,French Ligue 2,0.64,1.44,25.61
506,505,Mirandes,Spanish Segunda Division,0.87,1.79,25.51
507,488,Portsmouth,English League One,0.82,1.72,25.36
508,504,Sarpsborg,Norwegian Tippeligaen,0.81,1.73,25.09
509,497,GIF Sundsvall,Swedish Allsvenskan,0.88,1.84,24.99
510,499,Panionios,Greek Super League,0.76,1.66,24.81
511,509,Cercle Brugge,Belgian Jupiler League,1.01,2.06,24.65
512,508,North Carolina FC,United Soccer League,0.95,1.98,24.62
513,510,SuperSport United,South African ABSA Premier League,0.73,1.64,24.52
514,518,Orange County SC,United Soccer League,0.88,1.88,24.4
515,516,Vancouver Whitecaps,Major League Soccer,0.93,1.98,24.08
516,523,Doncaster Rovers,English League One,0.81,1.8,24.02
517,517,Highlands Park FC,South African ABSA Premier League,0.75,1.71,23.93
518,522,St. Pölten,Austrian T-Mobile Bundesliga,0.85,1.9,23.51
519,519,Lillestrom,Norwegian Tippeligaen,0.87,1.92,23.46
520,524,AC Horsens,Danish SAS-Ligaen,0.75,1.75,23.4
521,530,Östersunds FK,Swedish Allsvenskan,0.8,1.85,23.07
522,515,Chateauroux,French Ligue 2,0.59,1.52,22.95
523,521,Indy Eleven,United Soccer League,0.67,1.65,22.82
524,548,Cosenza,Italy Serie B,0.67,1.67,22.7
525,512,Wellington Phoenix,Australian A-League,0.94,2.1,22.66
526,514,Ross County,Scottish Premiership,0.81,1.9,22.6
527,520,US Pescara,Italy Serie B,0.75,1.8,22.59
528,526,Shonan Bellmare,Japanese J League,0.92,2.09,22.28
529,528,Cremonese,Italy Serie B,0.65,1.66,22.18
530,531,Bloem Celtic,South African ABSA Premier League,0.68,1.73,21.91
531,529,Chambly Thelle FC,French Ligue 2,0.6,1.61,21.87
532,534,FC Cincinnati,Major League Soccer,0.85,2.03,21.63
533,532,Salernitana,Italy Serie B,0.7,1.79,21.63
534,525,San Antonio FC,United Soccer League,1.07,2.38,21.61
535,540,Wycombe Wanderers,English League One,0.74,1.85,21.56
536,539,Le Mans,French Ligue 2,0.82,1.98,21.49
537,562,Ranheim,Norwegian Tippeligaen,0.84,2.03,21.45
538,537,Tromso,Norwegian Tippeligaen,0.97,2.24,21.37
539,554,LA Galaxy II,United Soccer League,1.02,2.34,21.1
540,542,Livorno,Italy Serie B,0.73,1.88,20.97
541,533,Ascoli,Italy Serie B,0.7,1.82,20.96
542,527,Coventry City,English League One,0.68,1.81,20.76
543,543,Bradford City,English League Two,0.73,1.9,20.73
544,544,F.B.C Unione Venezia,Italy Serie B,0.62,1.72,20.48
545,541,Milton Keynes Dons,English League One,0.72,1.89,20.48
546,536,IK Sirius,Swedish Allsvenskan,0.83,2.09,20.37
547,545,Pordenone Calcio,Italy Serie B,0.72,1.91,20.36
548,550,Blackpool,English League One,0.66,1.81,20.34
549,538,Fresno FC,United Soccer League,0.83,2.1,20.26
550,561,St Mirren,Scottish Premiership,0.61,1.73,20.18
551,547,Stromsgodset,Norwegian Tippeligaen,0.81,2.08,20.17
552,551,Virtus Entella,Italy Serie B,0.66,1.81,20.14
553,535,Sacramento Republic FC,United Soccer League,0.71,1.93,19.94
554,552,Gillingham,English League One,0.69,1.9,19.77
555,557,Mjondalen,Norwegian Tippeligaen,0.81,2.1,19.72
556,546,Pisa,Italy Serie B,0.69,1.91,19.63
557,559,Polokwane City FC,South African ABSA Premier League,0.57,1.71,19.46
558,553,Austin Bold FC,United Soccer League,0.82,2.16,19.23
559,549,Bristol Rovers,English League One,0.57,1.74,19.18
560,558,Lincoln City,English League One,0.66,1.91,19.05
561,560,Maritzburg Utd,South African ABSA Premier League,0.48,1.58,19.05
562,555,Helsingborgs IF,Swedish Allsvenskan,0.65,1.9,18.87
563,563,Jubilo Iwata,Japanese J League,0.56,1.75,18.79
564,556,St Johnstone,Scottish Premiership,0.64,1.9,18.62
565,565,Juve Stabia,Italy Serie B,0.65,1.93,18.43
566,566,Brisbane Roar,Australian A-League,0.84,2.26,18.43
567,569,Matsumoto Yamaga FC,Japanese J League,0.4,1.49,18.23
568,564,New Mexico United,United Soccer League,0.83,2.28,17.99
569,582,Accrington Stanley,English League One,0.64,2.02,17.06
570,583,Charleston Battery,United Soccer League,0.57,1.92,16.77
571,570,Kalmar FF,Swedish Allsvenskan,0.48,1.77,16.58
572,568,Ottawa Fury FC,United Soccer League,0.61,2.02,16.57
573,572,Trapani,Italy Serie B,0.56,1.94,16.44
574,573,Hamilton Academical,Scottish Premiership,0.63,2.06,16.43
575,567,Portland Timbers 2,United Soccer League,0.99,2.7,16.3
576,577,El Paso Locomotive FC,United Soccer League,0.47,1.78,16.26
577,571,Shrewsbury Town,English League One,0.46,1.77,16.22
578,599,Loudoun United FC,United Soccer League,0.95,2.65,16.21
579,580,Cheltenham Town,English League Two,0.64,2.12,16.1
580,578,Tranmere Rovers,English League One,0.63,2.09,16.03
581,575,Golden Arrows,South African ABSA Premier League,0.46,1.78,16.01
582,576,AmaZulu,South African ABSA Premier League,0.49,1.84,15.9
583,585,AFC Wimbledon,English League One,0.58,2.05,15.57
584,579,Scunthorpe,English League Two,0.65,2.2,15.38
585,589,Mansfield Town,English League Two,0.61,2.13,15.37
586,592,Crewe Alexandra,English League Two,0.67,2.25,15.35
587,584,Baroka FC,South African ABSA Premier League,0.42,1.76,15.22
588,590,Vasby United,Swedish Allsvenskan,0.56,2.05,15.08
589,588,Central Coast Mariners,Australian A-League,0.68,2.29,15.05
590,587,Chippa United,South African ABSA Premier League,0.35,1.65,14.95
591,581,Swindon Town,English League Two,0.58,2.13,14.66
592,596,Charlotte Independence,United Soccer League,0.6,2.19,14.44
593,594,Plymouth Argyle,English League Two,0.52,2.08,13.98
594,591,Saint Louis FC,United Soccer League,0.45,1.94,13.98
595,586,Oklahoma City Energy FC,United Soccer League,0.58,2.22,13.81
596,598,Rio Grande Valley FC Toros,United Soccer League,0.58,2.22,13.81
597,574,Exeter City,English League Two,0.49,2.04,13.75
598,593,Black Leopards,South African ABSA Premier League,0.43,1.94,13.63
599,595,Forest Green Rovers,English League Two,0.4,1.87,13.53
600,601,Rochdale,English League One,0.56,2.22,13.42
601,597,Las Vegas Lights FC,United Soccer League,0.57,2.39,12.05
602,602,Stellenbosch FC,South African ABSA Premier League,0.39,2.03,11.93
603,600,Falkenbergs FF,Swedish Allsvenskan,0.5,2.26,11.91
604,606,Southend United,English League One,0.62,2.53,11.65
605,617,Leyton Orient,English League Two,0.54,2.37,11.61
606,607,Hartford Athletic,United Soccer League,0.78,2.88,11.42
607,608,Northampton Town,English League Two,0.46,2.24,11.28
608,604,Oldham Athletic,English League Two,0.48,2.36,10.76
609,603,Colchester United,English League Two,0.34,2.06,10.65
610,611,Newport County,English League Two,0.22,1.77,10.61
611,605,Salford City,English League Two,0.44,2.29,10.57
612,616,Birmingham Legion FC,United Soccer League,0.37,2.17,10.24
613,613,Swope Park Rangers,United Soccer League,0.68,2.87,9.98
614,623,Cambridge United,English League Two,0.32,2.11,9.76
615,609,Bethlehem Steel FC,United Soccer League,0.71,2.98,9.62
616,619,Crawley Town,English League Two,0.45,2.45,9.46
617,612,Bolton,English League One,0.39,2.33,9.33
618,615,Atlanta United 2,United Soccer League,0.62,2.88,9.09
619,621,Tacoma Defiance,United Soccer League,0.57,2.78,9.08
620,614,Memphis 901 FC,United Soccer League,0.32,2.23,8.92
621,618,Tulsa Roughnecks,United Soccer League,0.47,2.63,8.56
622,610,Grimsby Town,English League Two,0.32,2.27,8.55
623,620,Carlisle United,English League Two,0.38,2.44,8.43
624,622,Stevenage,English League Two,0.25,2.23,7.67
625,624,Macclesfield,English League Two,0.22,2.25,7.02
626,627,Morecambe,English League Two,0.29,2.48,6.77
627,625,Walsall,English League Two,0.2,2.26,6.62
628,626,Port Vale,English League Two,0.21,2.33,6.4
629,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.45,5.6
